year,month,category,total_quantity_sold
2024,8,Vegetables,26
2024,3,Canned Goods,9
2024,5,Grains,8
2024,10,Condiments,4
2024,6,Condiments,14
2024,3,Bakery,17
2024,6,Canned Goods,2
2024,3,Dairy,12
2024,9,Dairy,16
2024,7,Beverages,10
2024,6,Grains,5
2024,6,Bakery,29
2024,7,Breakfast,13
2024,7,Snacks,5
2024,8,Condiments,12
2024,1,Fruit,7
2024,3,,3
2024,4,Breakfast,5
2024,2,Dairy,26
2024,6,Fruit,20
2024,7,Bakery,1
2024,10,Frozen,5
2024,8,Beverages,17
2024,11,Snacks,6
2024,4,Condiments,6
2024,5,Dairy,1
2024,6,Vegetables,1
2024,4,Meat,11
2024,3,Fruit,7
2024,12,Fruit,7
2024,10,,1
2024,9,Bakery,18
2024,1,Dairy,12
2024,7,Vegetables,9
2024,8,Fruit,4
2024,2,Canned Goods,5
2024,3,Snacks,3
2024,4,Fruit,9
2024,3,Vegetables,25
2024,3,Meat,10
2024,9,Fruit,9
2024,11,Beverages,2
2024,11,Grains,4
2024,10,Breakfast,2
2024,4,Dairy,21
2024,9,Beverages,10
2024,1,Breakfast,17
2024,10,Grains,8
2024,5,Fruit,22
2024,10,Dairy,16
2024,2,Meat,4
2024,9,Vegetables,16
2024,3,Beverages,2
2024,10,Beverages,10
2024,5,Canned Goods,3
2024,8,Snacks,6
2024,1,Vegetables,4
2024,5,Frozen,6
2024,4,Beverages,8
2024,6,Frozen,7
2024,8,Breakfast,5
2024,2,Bakery,6
2024,1,Beverages,3
2024,1,Meat,18
2024,10,Vegetables,15
2024,6,Breakfast,7
2024,4,Vegetables,7
2024,6,,2
2024,7,Frozen,8
2024,9,Snacks,3
2024,2,Snacks,5
2024,1,Bakery,7
2024,7,Fruit,9
2024,11,Fruit,7
2024,6,Meat,3
2024,2,Frozen,6
2024,7,Meat,9
2024,4,Canned Goods,10
2024,11,Bakery,15
2024,7,Dairy,39
2024,5,Meat,8
2024,5,Snacks,8
2024,10,Canned Goods,11
2024,1,Frozen,10
2024,9,Condiments,10
2024,11,Dairy,7
2024,2,Grains,6
2024,4,Frozen,22
2024,2,Vegetables,14
2024,1,Grains,10
2024,11,Frozen,9
2024,8,,10
2024,6,Beverages,13
2024,3,Condiments,17
2024,10,Bakery,21
2024,1,Condiments,9
2024,2,Beverages,15
2024,10,Meat,12
2024,6,Dairy,28
2024,10,Fruit,11
2024,8,Meat,1
2024,1,Snacks,8
2024,9,Frozen,8
2024,5,Condiments,10
2024,7,Condiments,1
