year,month,category,total_quantity_sold
2024,5,Grains,7
2024,6,Condiments,10
2024,6,Canned Goods,2
2024,3,Dairy,3
,,Bakery,95
2024,6,Bakery,10
2024,7,Breakfast,8
2024,7,Snacks,5
2024,8,Condiments,9
2024,4,Breakfast,1
2024,6,Fruit,7
,,,6
,,Meat,66
2024,3,Fruit,4
2024,1,Dairy,5
2024,3,Snacks,3
,,Vegetables,104
2024,3,Vegetables,6
,,Condiments,58
,,Breakfast,32
2024,9,Fruit,9
,,Beverages,78
,,Dairy,126
,,Fruit,84
2024,1,Breakfast,8
2024,10,Dairy,10
2024,5,Fruit,1
2024,3,Beverages,1
,,Grains,28
2024,8,Snacks,6
2024,4,Beverages,1
2024,6,Frozen,2
2024,2,Bakery,3
2024,1,Beverages,3
2024,1,Meat,9
2024,10,Vegetables,7
2024,1,Bakery,1
,,Frozen,70
,,Canned Goods,38
2024,11,Bakery,5
2024,7,Dairy,26
2024,2,Grains,6
2024,11,Frozen,9
2024,8,,10
2024,3,Condiments,6
,,Snacks,35
2024,2,Beverages,7
2024,6,Dairy,8
2024,8,Meat,1
